HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458583.27668,2019-04-09.7786364,bp,1.52,10.880,2.513,0.010,358970.301,3386.016,g
2458583.27788,2019-04-09.7798417,bp,1.61,10.180,2.071,0.014,539270.346,7097.629,g
2458583.27910,2019-04-09.7810589,bp,1.51,10.377,2.163,0.013,495621.684,5821.435,g
2458583.48417,2019-04-09.9861436,bl,1.61,13.305,8.511,0.005,1431.504,5.855,g
2458583.48538,2019-04-09.9873616,bl,1.54,13.350,8.548,0.005,1383.000,5.880,g
2458583.48660,2019-04-09.9885781,bl,1.57,13.233,8.501,0.004,1443.268,5.690,g
2458586.50427,2019-04-13.0065172,bl,1.49,13.289,8.500,0.004,1446.440,5.415,g
2458586.50549,2019-04-13.0077468,bl,1.47,13.401,8.484,0.004,1466.414,5.507,g
2458586.50673,2019-04-13.0089800,bl,1.48,13.543,8.514,0.004,1426.039,5.194,g
2458589.62472,2019-04-16.1272372,bt,1.52,10.927,2.639,0.004,319558.194,1152.664,g
2458589.62594,2019-04-16.1284519,bt,1.51,10.873,2.552,0.004,346076.226,1230.592,g
2458589.62715,2019-04-16.1296697,bt,1.56,10.787,2.477,0.004,370820.334,1481.486,g
2458591.49407,2019-04-17.9967444,bH,1.43,11.256,2.896,0.004,252180.532,878.246,g
2458591.49534,2019-04-17.9980158,bH,1.40,11.309,2.992,0.003,230722.749,677.162,g
2458591.49661,2019-04-17.9992885,bH,1.38,11.256,2.875,0.004,256926.354,926.759,g
2458594.49126,2019-04-20.9941818,bH,1.43,11.157,2.725,0.003,295131.644,866.220,g
2458594.49252,2019-04-20.9954515,bH,1.48,11.152,2.716,0.004,297444.746,974.824,g
2458594.49380,2019-04-20.9967222,bH,1.42,11.178,2.767,0.003,283969.254,914.687,g
2458595.49942,2019-04-22.0024230,bH,1.40,11.235,2.922,0.003,246190.212,763.945,g
2458595.50072,2019-04-22.0037207,bH,1.44,11.161,2.774,0.003,282313.571,785.377,g
2458595.50200,2019-04-22.0050024,bH,1.45,11.337,3.138,0.004,201881.626,678.558,g
2458596.47810,2019-04-22.9811924,bl,1.59,13.448,8.464,0.004,1493.951,5.547,g
2458596.47933,2019-04-22.9824162,bl,1.59,13.417,8.451,0.004,1512.287,5.281,g
2458599.48154,2019-04-25.9848708,bl,1.47,13.207,8.340,0.004,1676.140,6.543,g
2458599.48277,2019-04-25.9860969,bl,1.48,13.289,8.360,0.004,1644.077,6.153,g
2458599.48399,2019-04-25.9873159,bl,1.55,13.279,8.341,0.004,1673.980,6.616,g
2458601.47136,2019-04-27.9748392,bl,1.63,13.357,8.429,0.004,1543.436,5.929,g
2458601.47259,2019-04-27.9760633,bl,1.68,13.241,8.424,0.004,1550.168,6.022,g
2458601.47380,2019-04-27.9772844,bl,1.59,13.317,8.426,0.004,1546.971,5.993,g
2458602.47364,2019-04-28.9771871,bl,1.57,13.602,8.434,0.004,1536.315,5.287,g
2458602.47485,2019-04-28.9784057,bl,1.46,13.349,8.453,0.004,1509.632,5.532,g
2458602.47607,2019-04-28.9796232,bl,1.48,13.231,8.442,0.004,1525.578,5.910,g
2458604.46554,2019-04-30.9692355,bH,1.59,11.169,2.770,0.003,283195.621,852.538,g
2458604.46682,2019-04-30.9705137,bH,1.64,11.173,2.782,0.003,280050.430,787.890,g
2458604.46809,2019-04-30.9717859,bH,1.64,11.216,2.870,0.003,258202.777,773.321,g
2458607.45588,2019-05-03.9597834,bH,1.43,11.413,3.305,0.004,172906.836,589.648,g
2458607.45714,2019-05-03.9610537,bH,1.42,11.148,2.768,0.004,283675.917,936.159,g
2458607.45842,2019-05-03.9623251,bH,1.40,11.250,3.025,0.004,224022.759,876.661,g
2458609.45082,2019-05-05.9548546,bH,1.38,11.244,3.124,0.008,204489.671,1425.488,g
2458609.45209,2019-05-05.9561278,bH,1.68,11.150,3.028,0.007,223394.411,1407.697,g
2458708.67546,2019-08-13.1789883,bp,1.50,11.243,2.842,0.003,265162.334,735.097,g
2458708.67667,2019-08-13.1801957,bp,1.58,11.275,2.890,0.003,253618.069,696.915,g
2458708.67788,2019-08-13.1814150,bp,1.58,13.703,10.080,0.009,337.358,2.665,g
2458710.65936,2019-08-15.1627413,bp,2.01,11.194,2.814,0.003,271867.810,811.803,g
2458710.66056,2019-08-15.1639502,bp,2.01,11.218,2.861,0.004,260300.273,908.962,g
2458710.66178,2019-08-15.1651614,bp,1.99,11.238,2.886,0.004,254582.907,831.188,g
2458712.66672,2019-08-17.1699600,bp,2.11,10.955,2.546,0.003,348122.397,1114.811,g
2458712.66793,2019-08-17.1711651,bp,2.17,10.988,2.636,0.004,320403.729,1206.679,g
2458712.66915,2019-08-17.1723832,bp,2.03,11.031,2.668,0.004,311033.892,1073.101,g
2458714.91651,2019-08-19.4195569,bH,1.68,11.024,2.557,0.003,344742.192,1108.662,g
2458714.91777,2019-08-19.4208259,bH,1.59,11.079,2.609,0.003,328523.884,946.759,g
2458714.91906,2019-08-19.4221050,bH,1.56,11.095,2.648,0.003,316828.593,942.647,g
2458715.92000,2019-08-20.4229736,bl,1.44,13.362,8.523,0.004,1415.429,5.411,g
2458715.92122,2019-08-20.4241848,bl,1.47,13.477,8.702,0.004,1200.092,4.313,g
2458715.92243,2019-08-20.4254025,bl,1.43,13.194,8.770,0.005,1126.291,4.641,g
2458716.90541,2019-08-21.4083094,bl,1.51,13.579,8.485,0.003,1466.097,4.624,g
2458716.90664,2019-08-21.4095284,bl,1.48,13.284,8.497,0.004,1450.762,5.048,g
2458716.90786,2019-08-21.4107476,bl,1.48,13.323,8.501,0.004,1444.925,5.560,g
2458717.90603,2019-08-22.4088386,bH,1.42,11.155,2.755,0.003,287250.263,884.223,g
2458717.90729,2019-08-22.4100951,bH,1.40,11.125,2.687,0.003,305431.580,946.823,g
2458717.90855,2019-08-22.4113605,bH,1.42,11.185,2.809,0.003,273267.044,748.000,g
2458725.88626,2019-08-30.3883902,bH,1.44,11.370,3.199,0.003,190878.203,442.465,g
2458725.88753,2019-08-30.3896513,bH,1.39,11.530,3.530,0.003,140617.595,387.756,g
2458725.88881,2019-08-30.3909334,bH,1.44,11.518,3.502,0.003,144297.894,339.381,g
2458726.96710,2019-08-31.4691359,bt,1.47,10.807,2.444,0.003,382422.441,912.948,g
2458726.96831,2019-08-31.4703519,bt,1.49,10.846,2.518,0.003,356966.829,948.310,g
2458726.96954,2019-08-31.4715751,bt,1.54,10.905,2.639,0.003,319515.183,935.074,g
2458727.63384,2019-09-01.1358098,bp,1.52,11.191,2.774,0.003,282082.914,660.205,g
2458727.97748,2019-09-01.4794226,bt,1.52,10.896,2.598,0.003,331982.538,1060.071,g
2458727.97869,2019-09-01.4806340,bt,1.47,10.911,2.634,0.003,321154.882,796.349,g
2458727.97990,2019-09-01.4818510,bt,1.53,10.848,2.515,0.003,358175.845,1064.544,g
2458730.95251,2019-09-04.4541884,bt,1.44,10.404,2.289,0.005,440843.219,1904.487,g
2458730.95373,2019-09-04.4554052,bt,1.45,10.280,2.192,0.003,482588.754,1546.478,g
2458730.95494,2019-09-04.4566221,bt,1.47,10.480,2.287,0.005,441800.394,1999.128,g
2458733.10532,2019-09-06.6067987,bD,1.49,11.097,2.316,0.003,430352.578,1089.055,g
2458733.10661,2019-09-06.6080929,bD,1.44,11.083,2.284,0.002,443273.565,933.021,g
2458733.10791,2019-09-06.6093859,bD,1.48,11.062,2.243,0.002,459968.100,986.654,g
2458733.61232,2019-09-07.1137535,bp,1.52,11.153,2.704,0.003,300964.889,695.323,g
2458733.61430,2019-09-07.1157402,bp,1.53,11.163,2.716,0.002,297698.476,663.289,g
2458733.61552,2019-09-07.1169559,bp,1.56,11.205,2.802,0.003,275039.130,694.548,g
2458733.61676,2019-09-07.1181913,bp,1.52,11.186,2.760,0.003,285566.868,704.716,g
2458734.07732,2019-09-07.5787052,bD,1.72,10.908,2.068,0.002,540439.315,1228.375,g
2458734.07860,2019-09-07.5799862,bD,1.72,10.921,2.072,0.002,538692.189,1025.682,g
2458734.07988,2019-09-07.5812731,bD,1.67,10.747,2.016,0.004,567119.926,1832.875,g
2458734.60940,2019-09-08.1107388,bp,1.57,11.030,2.630,0.003,322099.622,784.280,g
2458735.61346,2019-09-09.1147015,bp,1.53,10.779,2.439,0.003,383896.420,1025.459,g
2458735.61467,2019-09-09.1159194,bp,1.57,10.805,2.493,0.003,365739.624,914.367,g
2458735.61588,2019-09-09.1171239,bp,1.54,10.802,2.479,0.003,370411.232,929.137,g
2458740.07289,2019-09-13.5737229,bD,1.50,11.119,2.363,0.003,411637.030,1057.529,g
2458740.07418,2019-09-13.5750111,bD,1.50,11.107,2.343,0.003,419656.400,1027.797,g
2458740.07547,2019-09-13.5762973,bD,1.49,11.118,2.372,0.003,408536.852,984.015,g
2458741.08492,2019-09-14.5856600,bD,1.46,11.110,2.353,0.003,415631.898,1121.098,g
2458741.08622,2019-09-14.5869517,bD,1.43,11.091,2.327,0.003,425827.827,1059.042,g
