HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457880.00020,2017-05-06.5005457,bd,1.58,15.377,11.900,0.010,66.697,0.582,V
2457880.00147,2017-05-06.5018150,bd,1.53,15.381,11.906,0.010,66.244,0.607,V
2457883.99262,2017-05-10.4927870,bd,1.65,15.301,11.915,0.011,65.776,0.645,V
2457883.99389,2017-05-10.4940535,bd,1.59,15.246,11.904,0.011,66.399,0.655,V
2457883.99515,2017-05-10.4953225,bd,1.66,15.273,11.892,0.011,67.114,0.657,V
2457889.08569,2017-05-15.5856244,bd,1.58,15.439,11.905,0.009,66.353,0.565,V
2457889.08697,2017-05-15.5868990,bd,1.59,15.438,11.887,0.009,67.471,0.561,V
2457889.08823,2017-05-15.5881634,bd,1.48,15.483,11.914,0.009,65.763,0.538,V
2457893.02722,2017-05-19.526975,bd,1.63,15.493,11.927,0.009,65.030,0.535,V
2457893.02850,2017-05-19.5282540,bd,1.61,15.501,11.917,0.009,65.600,0.521,V
2457893.02977,2017-05-19.5295237,bd,1.63,15.476,11.922,0.009,65.323,0.534,V
2457896.01674,2017-05-22.5163539,bd,1.61,15.499,11.917,0.009,65.613,0.531,V
2457896.01800,2017-05-22.5176192,bd,1.62,15.502,11.918,0.009,65.578,0.536,V
2457896.01927,2017-05-22.5188820,bd,1.57,15.489,11.903,0.009,66.524,0.541,V
2457896.10873,2017-05-22.6083431,bd,1.51,15.529,11.917,0.009,65.672,0.518,V
2457896.10999,2017-05-22.6096043,bd,1.58,15.510,11.911,0.009,65.965,0.536,V
2457896.11126,2017-05-22.6108724,bd,1.59,15.485,11.906,0.009,66.301,0.549,V
2457898.10325,2017-05-24.6027656,bd,1.59,15.509,11.890,0.009,67.279,0.522,V
2457898.10452,2017-05-24.6040434,bd,1.62,15.522,11.907,0.009,66.210,0.521,V
2457898.10580,2017-05-24.6053222,bd,1.54,15.514,11.903,0.009,66.542,0.517,V
2457899.10074,2017-05-25.6002162,bd,1.65,15.529,11.916,0.009,65.672,0.514,V
2457899.10202,2017-05-25.6014938,bd,1.67,15.500,11.898,0.009,66.817,0.534,V
2457899.10328,2017-05-25.6027567,bd,1.66,15.519,11.912,0.009,65.927,0.520,V
