MJD,V-mag,SE,air.mass
58020.18476,12.0869,0.0014,1.058
58020.18527,12.0874,0.0014,1.059
58020.18578,12.0818,0.0014,1.060
58020.18628,12.0831,0.0013,1.060
58020.18679,12.0881,0.0013,1.061
58020.18729,12.0867,0.0012,1.062
58020.18779,12.0844,0.0011,1.063
58020.18830,12.0913,0.0010,1.063
58020.18881,12.0820,0.0009,1.064
58020.18932,12.0901,0.0009,1.065
58020.18983,12.0917,0.0009,1.065
58020.19032,12.0877,0.0009,1.066
58020.19083,12.0852,0.0009,1.067
58020.19134,12.0839,0.0009,1.068
58020.19184,12.0828,0.0010,1.068
58020.19236,12.0817,0.0010,1.069
58020.19286,12.0849,0.0010,1.070
58020.19337,12.0846,0.0010,1.071
58020.19387,12.0796,0.0011,1.072
58020.19439,12.0840,0.0011,1.072
58020.19488,12.0867,0.0011,1.073
58020.19539,12.0858,0.0011,1.074
58020.19590,12.0807,0.0011,1.075
58020.19640,12.0859,0.0012,1.076
58020.19687,12.0815,0.0012,1.077
58020.19738,12.0867,0.0012,1.077
58020.19789,12.0863,0.0012,1.078
58020.19840,12.0843,0.0012,1.079
58020.19891,12.0785,0.0012,1.080
58020.19941,12.0828,0.0012,1.081
58020.19991,12.0835,0.0013,1.082
58020.20042,12.0901,0.0013,1.083
58020.20093,12.0909,0.0013,1.084
58020.20142,12.0847,0.0013,1.085
58020.20193,12.0830,0.0013,1.086
58020.20244,12.0866,0.0013,1.086
58020.20295,12.0879,0.0012,1.087
58020.20347,12.0871,0.0012,1.088
58020.20397,12.0866,0.0011,1.089
58020.20448,12.0909,0.0010,1.090
58020.20499,12.0769,0.0010,1.091
58020.20549,12.0888,0.0009,1.092
58020.20601,12.0839,0.0009,1.093
58020.20650,12.0831,0.0009,1.094
58020.20703,12.0850,0.0009,1.095
58020.20752,12.0864,0.0009,1.096
58020.20803,12.0942,0.0009,1.097
58020.20854,12.0818,0.0009,1.098
58020.20904,12.0839,0.0010,1.099
58020.20955,12.0900,0.0010,1.101
58020.21006,12.0858,0.0010,1.102
58020.21056,12.0880,0.0011,1.103
58020.21106,12.0869,0.0011,1.104
58020.21159,12.0858,0.0011,1.105
58020.21209,12.0902,0.0012,1.106
58020.21259,12.0848,0.0012,1.107
58020.21310,12.0843,0.0012,1.108
58020.21361,12.0840,0.0013,1.109
58020.21411,12.0836,0.0013,1.110
58020.21463,12.0892,0.0013,1.112
58020.21513,12.0867,0.0014,1.113
58020.21563,12.0865,0.0014,1.114
58020.21613,12.0880,0.0014,1.115
58020.21663,12.0910,0.0014,1.116
58020.21713,12.0802,0.0014,1.117
58020.21760,12.0886,0.0013,1.119
58020.21811,12.0818,0.0013,1.120
58020.21862,12.0824,0.0013,1.121
58020.21912,12.0822,0.0013,1.122
