Time,n_flux
146.89881,1.0004748
146.91924,1.0006021
146.93967,1.0005341
146.96011,1.0005171
146.98054,1.0005106
147.00098,1.0006122
147.02141,1.0008032
147.04185,1.0007372
147.06228,1.0007537
147.08272,1.0006532
147.10315,1.0006985
147.12358,1.0005150
147.14402,1.0005463
147.16445,1.0006386
147.18489,1.0005510
147.20532,1.0006111
147.22576,1.0004995
147.24619,1.0005811
147.26663,1.0005675
147.28706,1.0006633
147.30750,1.0006411
147.32793,1.0007155
147.34836,1.0006528
147.36880,1.0005475
147.38923,1.0005513
147.40967,1.0005569
147.43010,1.0004290
147.45054,1.0004138
147.47097,1.0005065
147.49141,1.0004409
147.51184,1.0005253
147.53227,1.0005876
147.55271,1.0005219
147.57314,1.0005929
147.59358,1.0004276
147.61401,1.0003465
147.63445,1.0004174
147.65488,1.0004308
147.67532,1.0004549
147.69575,1.0004805
147.71619,1.0003805
147.73662,1.0004645
147.75705,1.0005598
147.77749,1.0003461
147.79792,1.0004679
147.81836,1.0006008
147.83879,1.0009001
147.85923,1.0008540
147.87966,1.0008450
147.92053,1.0009562
147.94096,1.0010948
147.96140,1.0008720
