ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle,ROWID,
301.5642736,44.4567803,0.0341,0.0328,-0.0095,10.395,0.017,65.3,4.111e+00,10.474,0.020,55.6,3.639e+00,1,0,0000,AA,0,57157.83275995,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.511325,219.435262,146,
301.5643603,44.4568479,0.0373,0.0315,-0.0074,10.408,0.018,61.2,9.365e-01,10.433,0.023,47.7,8.376e-01,1,0,gg00,AA,10,57157.89846631,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.182691,213.944016,63,
301.5643443,44.4568407,0.0323,0.0283,-0.0045,10.415,0.015,70.5,1.549e+00,10.410,0.018,60.7,4.214e-01,1,0,0000,AA,10,57157.96404530,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.228005,218.884069,106,
301.5643817,44.4568528,0.0327,0.0339,0.0059,10.423,0.018,59.3,8.030e-01,10.423,0.017,62.6,1.013e+00,1,0,0000,AA,10,57158.02962431,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.141952,199.347846,17,
301.5643681,44.4568265,0.0362,0.0378,-0.0105,10.323,0.022,48.5,1.756e+00,10.491,0.021,52.4,7.876e-01,1,0,0000,AA,10,57158.02975167,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.242852,199.726580,118,
301.5643458,44.4568413,0.0322,0.0293,-0.0077,10.414,0.016,68.0,2.675e+00,10.437,0.019,56.8,1.087e+00,1,0,gg00,AA,10,57158.09533071,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.223908,218.463275,104,
301.5643132,44.4568278,0.0389,0.0343,-0.0110,10.422,0.017,62.3,1.379e+00,10.487,0.021,51.9,1.082e+00,1,0,0000,AA,10,57158.16090970,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.316057,224.887397,139,
301.5643586,44.4568494,0.0363,0.0316,-0.0055,10.416,0.019,57.4,1.932e+00,10.448,0.019,56.3,1.341e+00,1,0,0000,AA,10,57158.22661597,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.180768,216.048732,61,
301.5643996,44.4567689,0.0325,0.0318,-0.0116,10.502,0.016,68.4,5.462e+00,10.483,0.021,52.4,1.313e+00,1,0,g000,AA,10,57158.29219497,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.435962,180.135083,145,
301.5643325,44.4568607,0.0327,0.0284,-0.0073,10.427,0.016,66.2,2.753e+00,10.422,0.018,60.4,1.290e+00,1,0,gg00,AA,10,57158.42348032,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.202996,238.694728,85,
301.5643393,44.4568284,0.0374,0.0362,0.0073,10.428,0.018,59.5,4.576e+00,10.477,0.020,54.7,1.755e+00,1,0,0000,AA,10,57158.55463831,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.271121,215.120636,133,
301.5643595,44.4568671,0.0385,0.0327,-0.0057,10.413,0.019,56.1,1.258e+00,10.460,0.022,50.2,1.362e+00,1,0,0000,AA,10,57158.55476562,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.132770,231.614866,13,
301.5643599,44.4568400,0.0330,0.0310,-0.0105,10.430,0.017,65.7,1.434e+00,10.456,0.019,56.4,1.058e+00,1,0,g000,AA,10,57332.78196449,3017143901351046039,10.425,0.023,10.436,0.020,10.591,0.123,9.423,null,385483733,10.763,0.0209,10.551,0.0188,10.499,0.0201,0.207416,209.788989,89,
