MJD,V-mag,SE,air mass
57876.38666,11.8993,0.0021,1.338
57876.38713,11.9005,0.0021,1.335
57876.38760,11.9095,0.0022,1.333
57876.38808,11.9064,0.0022,1.330
57876.38855,11.9061,0.0021,1.328
57876.38904,11.9097,0.0020,1.325
57876.38951,11.9075,0.0020,1.323
57876.38999,11.9059,0.0019,1.320
57876.39046,11.9115,0.0018,1.318
57876.39094,11.9074,0.0017,1.316
57876.39141,11.9071,0.0016,1.313
57876.39189,11.9022,0.0016,1.311
57876.39236,11.9119,0.0015,1.308
57876.39285,11.9080,0.0016,1.306
57876.39331,11.9018,0.0016,1.304
57876.39377,11.9043,0.0016,1.301
57876.39426,11.9117,0.0017,1.299
57876.39473,11.9085,0.0017,1.297
57876.39521,11.9028,0.0017,1.295
57876.39568,11.9026,0.0017,1.292
57876.39617,11.8999,0.0018,1.290
57876.39664,11.9026,0.0018,1.288
57876.39713,11.9048,0.0019,1.285
57876.39760,11.9073,0.0020,1.283
57876.39809,11.9067,0.0021,1.281
57876.39856,11.9093,0.0022,1.279
57876.39905,11.9047,0.0023,1.277
57876.39953,11.9028,0.0024,1.274
57876.40000,11.9011,0.0025,1.272
57876.40047,11.9109,0.0025,1.270
57876.40096,11.9062,0.0025,1.268
57876.40144,11.9065,0.0024,1.266
57876.40192,11.9076,0.0032,1.264
57887.25838,11.9185,0.0050,2.490
57887.25887,11.8985,0.0053,2.479
57887.25935,11.9161,0.0054,2.468
57887.25984,11.9056,0.0055,2.456
57887.26031,11.8870,0.0056,2.445
57887.26080,11.9249,0.0056,2.434
57887.26127,11.9127,0.0055,2.424
57887.26176,11.9048,0.0053,2.413
57887.26223,11.9072,0.0051,2.402
57887.26272,11.9047,0.0048,2.392
57887.26321,11.9050,0.0045,2.381
57887.26368,11.9143,0.0042,2.371
57887.26417,11.8998,0.0039,2.360
57887.26464,11.9026,0.0036,2.350
57887.26513,11.9119,0.0034,2.340
57887.26560,11.9010,0.0033,2.330
57887.26609,11.9022,0.0032,2.320
57887.26657,11.9040,0.0031,2.310
57887.26705,11.9199,0.0031,2.301
57887.26752,11.9116,0.0031,2.291
57887.26801,11.8960,0.0030,2.281
57887.26848,11.9264,0.0030,2.272
57887.26897,11.8964,0.0030,2.263
57887.26944,11.8899,0.0030,2.253
57887.26993,11.9102,0.0030,2.244
57887.27042,11.8981,0.0031,2.235
57887.27089,11.9016,0.0031,2.226
57887.27138,11.8881,0.0031,2.217
57887.27185,11.8885,0.0031,2.208
57887.27234,11.9142,0.0031,2.199
57887.27282,11.8918,0.0031,2.190
57887.27331,11.9199,0.0031,2.181
57887.27378,11.9019,0.0032,2.173
57887.27426,11.8854,0.0032,2.164
57887.27475,11.9261,0.0033,2.156
57887.27522,11.8957,0.0035,2.147
57887.27571,11.9027,0.0036,2.139
57887.27619,11.9238,0.0037,2.130
57887.27668,11.9040,0.0038,2.122
57887.27715,11.9207,0.0039,2.114
57887.27764,11.9054,0.0039,2.106
57887.27811,11.9018,0.0038,2.098
57887.27860,11.9077,0.0037,2.090
57887.27909,11.8888,0.0036,2.082
57887.27956,11.9173,0.0034,2.074
57887.28005,11.9067,0.0033,2.066
57887.28052,11.9046,0.0031,2.059
57887.28100,11.9092,0.0030,2.051
57887.28148,11.9148,0.0029,2.044
57887.28196,11.9268,0.0029,2.036
57887.28244,11.9115,0.0030,2.029
57887.28292,11.9005,0.0030,2.021
57887.28340,11.8940,0.0030,2.014
57887.28389,11.8978,0.0030,2.007
57887.28436,11.8933,0.0029,2.000
57887.28485,11.8924,0.0028,1.992
57887.28532,11.9132,0.0027,1.985
57887.28581,11.8836,0.0026,1.978
57887.28628,11.9056,0.0024,1.971
57887.28677,11.9203,0.0023,1.964
57887.28726,11.9143,0.0022,1.957
57887.28774,11.9256,0.0021,1.950
57887.28822,11.9040,0.0020,1.944
57887.28870,11.9030,0.0019,1.937
57887.28919,11.9109,0.0018,1.930
57887.28968,11.8968,0.0018,1.923
57887.29015,11.8950,0.0018,1.917
57887.29064,11.9043,0.0017,1.910
57887.29111,11.9127,0.0017,1.904
57887.29160,11.8998,0.0016,1.897
57887.29207,11.9219,0.0015,1.891
57887.29256,11.9089,0.0014,1.885
57887.29304,11.9019,0.0015,1.878
57887.29352,11.9019,0.0016,1.872
57887.29399,11.9097,0.0019,1.866
57887.29448,11.9026,0.0022,1.860
57887.29495,11.8978,0.0025,1.854
57887.29544,11.9005,0.0028,1.848
57887.29593,11.8930,0.0030,1.842
57887.29640,11.8955,0.0032,1.836
57887.29688,11.9033,0.0033,1.830
57887.29736,11.8972,0.0033,1.824
57887.29784,11.9128,0.0033,1.818
57887.29832,11.9014,0.0031,1.812
57887.29881,11.9088,0.0030,1.807
57887.29928,11.9106,0.0027,1.801
57887.29977,11.9098,0.0025,1.795
57887.30025,11.9102,0.0023,1.790
57887.30074,11.9063,0.0021,1.784
57887.30122,11.8987,0.0021,1.778
57887.30170,11.8999,0.0021,1.773
57887.30218,11.9070,0.0022,1.767
57887.30266,11.9015,0.0023,1.762
57887.30314,11.9010,0.0025,1.757
57887.30362,11.8922,0.0027,1.751
57887.30411,11.9145,0.0028,1.746
57887.30457,11.9037,0.0030,1.741
57887.30506,11.9082,0.0031,1.736
57887.30554,11.8991,0.0031,1.730
57887.30603,11.9015,0.0032,1.725
57887.30652,11.9133,0.0032,1.720
57887.30700,11.9028,0.0031,1.715
57887.30748,11.9155,0.0030,1.710
57887.30795,11.9031,0.0029,1.705
57887.30843,11.8946,0.0028,1.700
57887.30891,11.9072,0.0026,1.695
57887.30938,11.9158,0.0024,1.690
57887.30986,11.9056,0.0022,1.685
57887.31034,11.9075,0.0021,1.681
57887.31081,11.9054,0.0021,1.676
57887.31130,11.9134,0.0021,1.671
57887.31178,11.8993,0.0023,1.666
57887.31227,11.8945,0.0025,1.661
57887.31274,11.8938,0.0026,1.657
57887.31323,11.9132,0.0027,1.652
57887.31370,11.9097,0.0028,1.648
57887.31419,11.9126,0.0029,1.643
57887.31466,11.8815,0.0029,1.638
57887.31515,11.9005,0.0029,1.634
